Buffer,Temperature,Time,Technical_rep,Detect_count
Ethanol,-20,1,1,6
Ethanol,-20,1,2,6
Ethanol,-20,1,3,6
Ethanol,-20,1,4,6
Ethanol,-20,1,5,6
Ethanol,4,1,1,6
Ethanol,4,1,2,6
Ethanol,4,1,3,6
Ethanol,4,1,4,6
Ethanol,4,1,5,6
Ethanol,RT,1,1,6
Ethanol,RT,1,2,6
Ethanol,RT,1,3,6
Ethanol,RT,1,4,6
Ethanol,RT,1,5,6
Frozen,-20,1,1,6
Frozen,-20,1,2,6
Frozen,-20,1,3,6
Frozen,-20,1,4,6
Frozen,-20,1,5,6
Ethanol,-20,2,1,6
Ethanol,-20,2,2,6
Ethanol,-20,2,3,6
Ethanol,-20,2,4,6
Ethanol,-20,2,5,6
Ethanol,4,2,1,6
Ethanol,4,2,2,6
Ethanol,4,2,3,6
Ethanol,4,2,4,6
Ethanol,4,2,5,6
Ethanol,RT,2,1,6
Ethanol,RT,2,2,6
Ethanol,RT,2,3,6
Ethanol,RT,2,4,6
Ethanol,RT,2,5,6
Frozen,-20,2,1,6
Frozen,-20,2,2,6
Frozen,-20,2,3,6
Frozen,-20,2,4,6
Frozen,-20,2,5,6
Ethanol,-20,208,1,6
Ethanol,-20,208,2,6
Ethanol,-20,208,3,6
Ethanol,-20,208,4,6
Ethanol,-20,208,5,6
Ethanol,4,208,1,6
Ethanol,4,208,2,6
Ethanol,4,208,3,6
Ethanol,4,208,4,6
Ethanol,4,208,5,6
Ethanol,RT,208,1,6
Ethanol,RT,208,2,6
Ethanol,RT,208,3,6
Ethanol,RT,208,4,6
Ethanol,RT,208,5,6
Frozen,-20,208,1,6
Frozen,-20,208,2,6
Frozen,-20,208,3,6
Frozen,-20,208,4,6
Frozen,-20,208,5,6
