Buffer,Extraction,Time,Technical_rep,Detect_count
Ethanol,Kit,4,1,9
Ethanol,Kit,4,2,9
Ethanol,Kit,4,3,9
Ethanol,Kit,4,4,9
Ethanol,PCI,4,1,9
Ethanol,PCI,4,2,9
Ethanol,PCI,4,3,9
Ethanol,PCI,4,4,9
Longmire's,Kit,4,1,9
Longmire's,Kit,4,2,9
Longmire's,Kit,4,3,9
Longmire's,Kit,4,4,9
Longmire's,PCI,4,1,9
Longmire's,PCI,4,2,8
Longmire's,PCI,4,3,9
Longmire's,PCI,4,4,4
Ethanol,Kit,13,1,9
Ethanol,Kit,13,2,9
Ethanol,Kit,13,3,9
Ethanol,Kit,13,4,9
Ethanol,PCI,13,1,8
Ethanol,PCI,13,2,9
Ethanol,PCI,13,3,9
Ethanol,PCI,13,4,9
Longmire's,Kit,13,1,9
Longmire's,Kit,13,2,9
Longmire's,Kit,13,3,9
Longmire's,Kit,13,4,9
Longmire's,PCI,13,1,7
Longmire's,PCI,13,2,8
Longmire's,PCI,13,3,9
Longmire's,PCI,13,4,7
Ethanol,Kit,26,1,9
Ethanol,Kit,26,2,9
Ethanol,Kit,26,3,9
Ethanol,Kit,26,4,9
Ethanol,PCI,26,1,9
Ethanol,PCI,26,2,9
Ethanol,PCI,26,3,9
Ethanol,PCI,26,4,9
Longmire's,Kit,26,1,9
Longmire's,Kit,26,2,9
Longmire's,Kit,26,3,9
Longmire's,Kit,26,4,9
Longmire's,PCI,26,1,8
Longmire's,PCI,26,2,9
Longmire's,PCI,26,3,9
Longmire's,PCI,26,4,9
Ethanol,Kit,39,1,9
Ethanol,Kit,39,2,9
Ethanol,Kit,39,3,9
Ethanol,Kit,39,4,9
Ethanol,PCI,39,1,5
Ethanol,PCI,39,2,9
Ethanol,PCI,39,3,9
Ethanol,PCI,39,4,9
Longmire's,PCI,39,1,9
Longmire's,PCI,39,2,8
Longmire's,PCI,39,3,9
Longmire's,PCI,39,4,8
Ethanol,Kit,52,1,9
Ethanol,Kit,52,2,9
Ethanol,Kit,52,3,9
Ethanol,Kit,52,4,9
Ethanol,PCI,52,1,9
Ethanol,PCI,52,2,9
Ethanol,PCI,52,3,9
Ethanol,PCI,52,4,9
Longmire's,Kit,52,1,9
Longmire's,Kit,52,2,9
Longmire's,Kit,52,3,9
Longmire's,Kit,52,4,9
Longmire's,PCI,52,1,9
Longmire's,PCI,52,2,9
Longmire's,PCI,52,3,7
Longmire's,PCI,52,4,9
